jour,dep,P,cas_glissant
2020-05-13,01,9,NA
2020-05-13,02,14,NA
2020-05-13,03,0,NA
2020-05-13,04,1,NA
2020-05-13,05,0,NA
2020-05-13,06,20,NA
2020-05-13,07,4,NA
2020-05-13,08,6,NA
2020-05-13,09,1,NA
2020-05-13,10,3,NA
2020-05-13,11,13,NA
2020-05-13,12,2,NA
2020-05-13,13,63,NA
2020-05-13,14,3,NA
2020-05-13,15,0,NA
2020-05-13,16,1,NA
2020-05-13,17,1,NA
2020-05-13,18,2,NA
2020-05-13,19,3,NA
2020-05-13,21,4,NA
2020-05-13,22,3,NA
2020-05-13,23,1,NA
2020-05-13,24,1,NA
2020-05-13,25,6,NA
2020-05-13,26,2,NA
2020-05-13,27,8,NA
2020-05-13,28,4,NA
2020-05-13,29,2,NA
2020-05-13,2A,4,NA
2020-05-13,2B,2,NA
2020-05-13,30,0,NA
2020-05-13,31,19,NA
2020-05-13,32,2,NA
2020-05-13,33,4,NA
2020-05-13,34,11,NA
2020-05-13,35,5,NA
2020-05-13,36,1,NA
2020-05-13,37,7,NA
2020-05-13,38,5,NA
2020-05-13,39,0,NA
2020-05-13,40,0,NA
2020-05-13,41,2,NA
2020-05-13,42,4,NA
2020-05-13,43,0,NA
2020-05-13,44,6,NA
2020-05-13,45,14,NA
2020-05-13,46,1,NA
2020-05-13,47,0,NA
2020-05-13,48,0,NA
2020-05-13,49,6,NA
2020-05-13,50,5,NA
2020-05-13,51,14,NA
2020-05-13,52,2,NA
2020-05-13,53,2,NA
2020-05-13,54,23,NA
2020-05-13,55,15,NA
2020-05-13,56,0,NA
2020-05-13,57,35,NA
2020-05-13,58,0,NA
2020-05-13,59,38,NA
2020-05-13,60,4,NA
2020-05-13,61,6,NA
2020-05-13,62,13,NA
2020-05-13,63,3,NA
2020-05-13,64,2,NA
2020-05-13,65,2,NA
2020-05-13,66,0,NA
2020-05-13,67,30,NA
2020-05-13,68,14,NA
2020-05-13,69,20,NA
2020-05-13,70,1,NA
2020-05-13,71,5,NA
2020-05-13,72,2,NA
2020-05-13,73,2,NA
2020-05-13,74,8,NA
2020-05-13,75,38,NA
2020-05-13,76,15,NA
2020-05-13,77,27,NA
2020-05-13,78,32,NA
2020-05-13,79,7,NA
2020-05-13,80,11,NA
2020-05-13,81,6,NA
2020-05-13,82,0,NA
2020-05-13,83,1,NA
2020-05-13,84,2,NA
2020-05-13,85,6,NA
2020-05-13,86,15,NA
2020-05-13,87,1,NA
2020-05-13,88,9,NA
2020-05-13,89,3,NA
2020-05-13,90,0,NA
2020-05-13,91,30,NA
2020-05-13,92,21,NA
2020-05-13,93,80,NA
2020-05-13,94,30,NA
2020-05-13,95,25,NA
2020-05-13,971,0,NA
2020-05-13,972,4,NA
2020-05-13,973,0,NA
2020-05-13,974,1,NA
2020-05-13,975,0,NA
2020-05-13,976,9,NA
2020-05-13,977,0,NA
2020-05-13,978,0,NA
2020-05-14,01,9,NA
2020-05-14,02,15,NA
2020-05-14,03,2,NA
2020-05-14,04,2,NA
2020-05-14,05,7,NA
2020-05-14,06,24,NA
2020-05-14,07,4,NA
2020-05-14,08,2,NA
2020-05-14,09,0,NA
2020-05-14,10,0,NA
2020-05-14,11,34,NA
2020-05-14,12,14,NA
2020-05-14,13,50,NA
2020-05-14,14,7,NA
2020-05-14,15,2,NA
2020-05-14,16,2,NA
2020-05-14,17,0,NA
2020-05-14,18,1,NA
2020-05-14,19,1,NA
2020-05-14,21,7,NA
2020-05-14,22,6,NA
2020-05-14,23,1,NA
2020-05-14,24,2,NA
2020-05-14,25,5,NA
2020-05-14,26,9,NA
2020-05-14,27,5,NA
2020-05-14,28,7,NA
2020-05-14,29,1,NA
2020-05-14,2A,2,NA
2020-05-14,2B,1,NA
2020-05-14,30,18,NA
2020-05-14,31,9,NA
2020-05-14,32,3,NA
2020-05-14,33,5,NA
2020-05-14,34,7,NA
2020-05-14,35,8,NA
2020-05-14,36,1,NA
2020-05-14,37,5,NA
2020-05-14,38,12,NA
2020-05-14,39,0,NA
2020-05-14,40,2,NA
2020-05-14,41,2,NA
2020-05-14,42,15,NA
2020-05-14,43,1,NA
2020-05-14,44,6,NA
2020-05-14,45,18,NA
2020-05-14,46,1,NA
2020-05-14,47,1,NA
2020-05-14,48,0,NA
2020-05-14,49,11,NA
2020-05-14,50,1,NA
2020-05-14,51,11,NA
2020-05-14,52,1,NA
2020-05-14,53,2,NA
2020-05-14,54,9,NA
2020-05-14,55,8,NA
2020-05-14,56,3,NA
2020-05-14,57,34,NA
2020-05-14,58,0,NA
2020-05-14,59,42,NA
2020-05-14,60,17,NA
2020-05-14,61,5,NA
2020-05-14,62,13,NA
2020-05-14,63,3,NA
2020-05-14,64,0,NA
2020-05-14,65,1,NA
2020-05-14,66,0,NA
2020-05-14,67,22,NA
2020-05-14,68,17,NA
2020-05-14,69,41,NA
2020-05-14,70,5,NA
2020-05-14,71,15,NA
2020-05-14,72,3,NA
2020-05-14,73,1,NA
2020-05-14,74,4,NA
2020-05-14,75,56,NA
2020-05-14,76,8,NA
2020-05-14,77,29,NA
2020-05-14,78,21,NA
2020-05-14,79,3,NA
2020-05-14,80,10,NA
2020-05-14,81,1,NA
2020-05-14,82,0,NA
2020-05-14,83,6,NA
2020-05-14,84,3,NA
2020-05-14,85,3,NA
2020-05-14,86,6,NA
2020-05-14,87,0,NA
2020-05-14,88,6,NA
2020-05-14,89,0,NA
2020-05-14,90,1,NA
2020-05-14,91,45,NA
2020-05-14,92,43,NA
2020-05-14,93,66,NA
2020-05-14,94,38,NA
2020-05-14,95,37,NA
2020-05-14,971,0,NA
2020-05-14,972,4,NA
2020-05-14,973,0,NA
2020-05-14,974,1,NA
2020-05-14,975,0,NA
2020-05-14,976,9,NA
2020-05-14,977,0,NA
2020-05-14,978,0,NA
2020-05-15,01,5,NA
2020-05-15,02,14,NA
2020-05-15,03,2,NA
2020-05-15,04,1,NA
2020-05-15,05,0,NA
2020-05-15,06,20,NA
2020-05-15,07,5,NA
2020-05-15,08,6,NA
2020-05-15,09,0,NA
2020-05-15,10,5,NA
2020-05-15,11,1,NA
2020-05-15,12,11,NA
2020-05-15,13,48,NA
2020-05-15,14,3,NA
2020-05-15,15,0,NA
2020-05-15,16,2,NA
2020-05-15,17,1,NA
2020-05-15,18,5,NA
2020-05-15,19,1,NA
2020-05-15,21,7,NA
2020-05-15,22,13,NA
2020-05-15,23,0,NA
2020-05-15,24,0,NA
2020-05-15,25,6,NA
2020-05-15,26,7,NA
2020-05-15,27,3,NA
2020-05-15,28,8,NA
2020-05-15,29,2,NA
2020-05-15,2A,1,NA
2020-05-15,2B,0,NA
2020-05-15,30,15,NA
2020-05-15,31,17,NA
2020-05-15,32,1,NA
2020-05-15,33,5,NA
2020-05-15,34,5,NA
2020-05-15,35,64,NA
2020-05-15,36,5,NA
2020-05-15,37,8,NA
2020-05-15,38,5,NA
2020-05-15,39,6,NA
2020-05-15,40,0,NA
2020-05-15,41,4,NA
2020-05-15,42,7,NA
2020-05-15,43,0,NA
2020-05-15,44,11,NA
2020-05-15,45,24,NA
2020-05-15,46,7,NA
2020-05-15,47,1,NA
2020-05-15,48,0,NA
2020-05-15,49,5,NA
2020-05-15,50,0,NA
2020-05-15,51,10,NA
2020-05-15,52,0,NA
2020-05-15,53,3,NA
2020-05-15,54,20,NA
2020-05-15,55,21,NA
2020-05-15,56,2,NA
2020-05-15,57,45,NA
2020-05-15,58,29,NA
2020-05-15,59,30,NA
2020-05-15,60,25,NA
2020-05-15,61,7,NA
2020-05-15,62,9,NA
2020-05-15,63,5,NA
2020-05-15,64,13,NA
2020-05-15,65,6,NA
2020-05-15,66,0,NA
2020-05-15,67,26,NA
2020-05-15,68,15,NA
2020-05-15,69,26,NA
2020-05-15,70,2,NA
2020-05-15,71,9,NA
2020-05-15,72,7,NA
2020-05-15,73,4,NA
2020-05-15,74,12,NA
2020-05-15,75,47,NA
2020-05-15,76,10,NA
2020-05-15,77,20,NA
2020-05-15,78,32,NA
2020-05-15,79,3,NA
2020-05-15,80,8,NA
2020-05-15,81,0,NA
2020-05-15,82,1,NA
2020-05-15,83,2,NA
2020-05-15,84,2,NA
2020-05-15,85,11,NA
2020-05-15,86,4,NA
2020-05-15,87,0,NA
2020-05-15,88,2,NA
2020-05-15,89,3,NA
2020-05-15,90,1,NA
2020-05-15,91,28,NA
2020-05-15,92,63,NA
2020-05-15,93,31,NA
2020-05-15,94,33,NA
2020-05-15,95,19,NA
2020-05-15,971,0,NA
2020-05-15,972,0,NA
2020-05-15,973,0,NA
2020-05-15,974,1,NA
2020-05-15,975,0,NA
