date,incid_dchosp,deces_glissant
2020-01-23,NA,NA
2020-01-24,NA,NA
2020-01-25,NA,NA
2020-01-26,NA,NA
2020-01-27,NA,NA
2020-01-28,NA,NA
2020-01-29,NA,NA
2020-01-30,NA,NA
2020-01-31,NA,NA
2020-02-01,NA,NA
2020-02-02,NA,NA
2020-02-03,NA,NA
2020-02-04,NA,NA
2020-02-05,NA,NA
2020-02-06,NA,NA
2020-02-07,NA,NA
2020-02-08,NA,NA
2020-02-09,NA,NA
2020-02-10,NA,NA
2020-02-11,NA,NA
2020-02-12,NA,NA
2020-02-13,NA,NA
2020-02-14,NA,NA
2020-02-15,NA,NA
2020-02-16,NA,NA
2020-02-17,NA,NA
2020-02-18,NA,NA
2020-02-19,NA,NA
2020-02-20,NA,NA
2020-02-21,NA,NA
2020-02-22,NA,NA
2020-02-23,NA,NA
2020-02-24,NA,NA
2020-02-25,NA,NA
2020-02-26,NA,NA
2020-02-27,NA,NA
2020-02-28,NA,NA
2020-02-29,NA,NA
2020-03-01,NA,NA
2020-03-02,NA,NA
2020-03-03,NA,NA
2020-03-04,NA,NA
2020-03-05,NA,NA
2020-03-06,NA,NA
2020-03-07,NA,NA
2020-03-08,NA,NA
2020-03-09,NA,NA
2020-03-10,NA,NA
2020-03-11,NA,NA
2020-03-12,NA,NA
2020-03-13,NA,NA
2020-03-14,NA,NA
2020-03-15,NA,NA
2020-03-16,NA,NA
2020-03-17,NA,NA
2020-03-18,NA,NA
2020-03-19,155,NA
2020-03-20,83,NA
2020-03-21,115,NA
2020-03-22,124,NA
2020-03-23,189,NA
2020-03-24,244,NA
2020-03-25,293,172
2020-03-26,318,195
2020-03-27,307,227
2020-03-28,326,257
2020-03-29,295,282
2020-03-30,423,315
2020-03-31,526,355
2020-04-01,516,387
2020-04-02,524,417
2020-04-03,606,459
2020-04-04,448,477
2020-04-05,361,486
2020-04-06,613,513
2020-04-07,607,525
2020-04-08,562,532
2020-04-09,424,517
2020-04-10,578,513
2020-04-11,353,500
2020-04-12,315,493
2020-04-13,343,455
2020-04-14,559,448
2020-04-15,524,442
2020-04-16,435,444
2020-04-17,428,422
2020-04-18,368,425
2020-04-19,231,413
2020-04-20,450,428
2020-04-21,404,406
2020-04-22,349,381
2020-04-23,320,364
2020-04-24,312,348
2020-04-25,207,325
2020-04-26,152,313
2020-04-27,300,292
2020-04-28,328,281
2020-04-29,251,267
2020-04-30,207,251
2020-05-01,138,226
2020-05-02,120,214
2020-05-03,101,206
2020-05-04,245,199
2020-05-05,244,187
2020-05-06,181,177
2020-05-07,159,170
2020-05-08,118,167
2020-05-09,77,161
2020-05-10,70,156
2020-05-11,184,148
2020-05-12,194,140
2020-05-13,105,130
2020-05-14,126,125
2020-05-15,120,125
2020-05-16,78,125
2020-05-17,54,123
2020-05-18,123,114
2020-05-19,140,107
2020-05-20,102,106
2020-05-21,58,96
2020-05-22,75,90
2020-05-23,47,86
2020-05-24,36,83
2020-05-25,93,79
2020-05-26,92,72
2020-05-27,67,67
2020-05-28,69,68
2020-05-29,63,67
2020-05-30,57,68
2020-05-31,35,68
2020-06-01,31,59
2020-06-02,85,58
2020-06-03,85,61
2020-06-04,46,57
2020-06-05,47,55
2020-06-06,35,52
2020-06-07,13,49
2020-06-08,55,52
2020-06-09,53,48
2020-06-10,34,40
2020-06-11,28,38
2020-06-12,33,36
2020-06-13,24,34
2020-06-14,9,34
2020-06-15,30,30
2020-06-16,42,29
2020-06-17,30,28
2020-06-18,29,28
2020-06-19,14,25
2020-06-20,19,25
2020-06-21,7,24
2020-06-22,23,23
2020-06-23,26,21
2020-06-24,13,19
2020-06-25,21,18
2020-06-26,26,19
2020-06-27,15,19
2020-06-28,2,18
2020-06-29,18,17
2020-06-30,21,17
2020-07-01,19,17
2020-07-02,16,17
2020-07-03,18,16
2020-07-04,13,15
2020-07-05,2,15
2020-07-06,13,15
2020-07-07,35,17
2020-07-08,34,19
2020-07-09,15,19
2020-07-10,25,20
2020-07-11,6,19
2020-07-12,1,18
2020-07-13,18,19
2020-07-14,6,15
2020-07-15,20,13
2020-07-16,18,13
2020-07-17,14,12
2020-07-18,8,12
2020-07-19,1,12
2020-07-20,16,12
2020-07-21,13,13
2020-07-22,7,11
2020-07-23,14,10
2020-07-24,13,10
2020-07-25,8,10
2020-07-26,1,10
2020-07-27,9,9
2020-07-28,15,10
2020-07-29,15,11
2020-07-30,16,11
2020-07-31,11,11
2020-08-01,6,10
2020-08-02,1,10
2020-08-03,22,12
2020-08-04,11,12
2020-08-05,9,11
2020-08-06,7,10
2020-08-07,12,10
2020-08-08,2,9
2020-08-09,0,9
2020-08-10,14,8
2020-08-11,15,8
2020-08-12,18,10
2020-08-13,17,11
2020-08-14,19,12
2020-08-15,4,12
2020-08-16,1,13
2020-08-17,19,13
2020-08-18,17,14
2020-08-19,17,13
2020-08-20,12,13
2020-08-21,23,13
2020-08-22,12,14
2020-08-23,1,14
2020-08-24,15,14
2020-08-25,22,15
2020-08-26,19,15
2020-08-27,15,15
2020-08-28,19,15
2020-08-29,6,14
2020-08-30,4,14
2020-08-31,29,16
2020-09-01,19,16
2020-09-02,26,17
2020-09-03,21,18
2020-09-04,19,18
2020-09-05,12,19
2020-09-06,3,18
2020-09-07,25,18
2020-09-08,39,21
2020-09-09,30,21
2020-09-10,19,21
2020-09-11,40,24
2020-09-12,17,25
2020-09-13,6,25
2020-09-14,34,26
2020-09-15,37,26
2020-09-16,46,28
2020-09-17,50,33
2020-09-18,123,45
2020-09-19,26,46
2020-09-20,12,47
2020-09-21,53,50
2020-09-22,68,54
2020-09-23,43,54
2020-09-24,53,54
2020-09-25,56,44
2020-09-26,41,47
2020-09-27,27,49
2020-09-28,81,53
2020-09-29,59,51
2020-09-30,64,54
2020-10-01,63,56
2020-10-02,48,55
2020-10-03,49,56
2020-10-04,32,57
2020-10-05,70,55
2020-10-06,65,56
2020-10-07,80,58
2020-10-08,77,60
2020-10-09,62,62
2020-10-10,54,63
2020-10-11,46,65
2020-10-12,96,69
2020-10-13,87,72
2020-10-14,104,75
2020-10-15,88,77
2020-10-16,122,85
2020-10-17,90,90
2020-10-18,85,96
2020-10-19,146,103
2020-10-20,163,114
2020-10-21,166,123
2020-10-22,165,134
2020-10-23,184,143
2020-10-24,138,150
2020-10-25,116,154
2020-10-26,258,170
2020-10-27,292,188
2020-10-28,244,200
2020-10-29,250,212
2020-10-30,256,222
2020-10-31,224,234
2020-11-01,231,251
2020-11-02,418,274
2020-11-03,430,293
2020-11-04,394,315
2020-11-05,367,331
2020-11-06,405,353
2020-11-07,306,364
2020-11-08,271,370
2020-11-09,551,389
2020-11-10,472,395
2020-11-11,329,386
2020-11-12,418,393
2020-11-13,467,402
2020-11-14,359,410
2020-11-15,302,414
2020-11-16,508,408
2020-11-17,437,403
2020-11-18,427,417
2020-11-19,436,419
2020-11-20,386,408
2020-11-21,276,396
2020-11-22,215,384
2020-11-23,501,383
2020-11-24,457,385
2020-11-25,384,379
2020-11-26,340,366
2020-11-27,396,367
2020-11-28,213,358
2020-11-29,198,356
2020-11-30,408,342
2020-12-01,365,329
2020-12-02,312,319
2020-12-03,326,317
2020-12-04,284,301
2020-12-05,216,301
2020-12-06,175,298
2020-12-07,366,292
2020-12-08,380,294
2020-12-09,296,292
2020-12-10,297,288
2020-12-11,306,291
2020-12-12,199,288
2020-12-13,150,285
2020-12-14,372,286
2020-12-15,314,276
2020-12-16,292,276
2020-12-17,261,271
2020-12-18,264,265
2020-12-19,190,263
2020-12-20,131,261
2020-12-21,354,258
2020-12-22,386,268
2020-12-23,278,266
2020-12-24,292,271
2020-12-25,159,256
2020-12-26,146,249
2020-12-27,175,256
2020-12-28,364,257
2020-12-29,388,257
2020-12-30,304,261
2020-12-31,252,255
2021-01-01,133,252
2021-01-02,157,253
2021-01-03,116,245
2021-01-04,380,247
2021-01-05,346,241
2021-01-06,291,239
2021-01-07,277,243
2021-01-08,281,264
2021-01-09,171,266
2021-01-10,151,271
2021-01-11,310,261
2021-01-12,362,263
2021-01-13,232,255
2021-01-14,283,256
2021-01-15,288,257
2021-01-16,196,260
2021-01-17,141,259
2021-01-18,404,272
2021-01-19,373,274
2021-01-20,316,286
2021-01-21,358,297
2021-01-22,323,302
2021-01-23,231,307
2021-01-24,172,311
2021-01-25,449,317
2021-01-26,352,314
2021-01-27,351,319
2021-01-28,348,318
2021-01-29,356,323
2021-01-30,242,324
2021-01-31,195,328
2021-02-01,456,329
2021-02-02,404,336
2021-02-03,358,337
2021-02-04,360,339
2021-02-05,296,330
2021-02-06,191,323
2021-02-07,171,319
2021-02-08,460,320
2021-02-09,439,325
2021-02-10,297,316
2021-02-11,371,318
2021-02-12,320,321
2021-02-13,199,322
2021-02-14,167,322
2021-02-15,413,315
2021-02-16,352,303
2021-02-17,311,305
2021-02-18,272,291
2021-02-19,328,292
2021-02-20,183,289
2021-02-21,160,288
2021-02-22,334,277
2021-02-23,314,272
2021-02-24,278,267
2021-02-25,261,265
2021-02-26,286,259
2021-02-27,186,260
2021-02-28,122,254
2021-03-01,379,261
2021-03-02,301,259
2021-03-03,326,266
2021-03-04,295,271
2021-03-05,239,264
2021-03-06,173,262
2021-03-07,130,263
2021-03-08,360,261
2021-03-09,299,260
2021-03-10,266,252
2021-03-11,266,248
2021-03-12,228,246
2021-03-13,174,246
2021-03-14,140,248
2021-03-15,333,244
2021-03-16,320,247
2021-03-17,246,244
2021-03-18,273,245
2021-03-19,297,255
2021-03-20,185,256
2021-03-21,138,256
2021-03-22,344,258
2021-03-23,292,254
2021-03-24,248,254
2021-03-25,228,247
2021-03-26,304,248
2021-03-27,194,250
2021-03-28,131,249
2021-03-29,362,251
2021-03-30,337,258
2021-03-31,304,266
2021-04-01,313,278
2021-04-02,301,277
2021-04-03,187,276
2021-04-04,185,284
2021-04-05,197,261
2021-04-06,409,271
2021-04-07,433,289
2021-04-08,345,294
2021-04-09,301,294
2021-04-10,210,297
2021-04-11,178,296
2021-04-12,385,323
2021-04-13,324,311
2021-04-14,297,291
2021-04-15,300,285
2021-04-16,309,286
2021-04-17,189,283
2021-04-18,140,278
2021-04-19,449,287
2021-04-20,375,294
2021-04-21,316,297
2021-04-22,285,295
2021-04-23,309,295
2021-04-24,220,299
2021-04-25,145,300
2021-04-26,400,293
2021-04-27,338,288
2021-04-28,324,289
2021-04-29,321,294
2021-04-30,271,288
2021-05-01,195,285
2021-05-02,113,280
2021-05-03,311,268
2021-05-04,243,254
2021-05-05,245,243
2021-05-06,222,229
2021-05-07,227,222
2021-05-08,176,220
2021-05-09,116,220
2021-05-10,293,217
2021-05-11,236,216
2021-05-12,185,208
2021-05-13,131,195
2021-05-14,173,187
2021-05-15,112,178
2021-05-16,81,173
2021-05-17,196,159
2021-05-18,187,152
2021-05-19,141,146
2021-05-20,137,147
2021-05-21,111,138
2021-05-22,89,135
2021-05-23,70,133
2021-05-24,62,114
2021-05-25,199,116
2021-05-26,144,116
2021-05-27,146,117
2021-05-28,105,116
2021-05-29,71,114
2021-05-30,44,110
2021-05-31,126,119
2021-06-01,137,110
2021-06-02,96,104
2021-06-03,71,93
2021-06-04,81,89
2021-06-05,58,88
2021-06-06,25,85
2021-06-07,66,76
2021-06-08,72,67
2021-06-09,65,63
2021-06-10,68,62
2021-06-11,69,60
2021-06-12,34,57
2021-06-13,13,55
2021-06-14,63,55
2021-06-15,76,55
2021-06-16,45,53
2021-06-17,56,51
2021-06-18,50,48
2021-06-19,22,46
2021-06-20,14,47
2021-06-21,40,43
2021-06-22,52,40
2021-06-23,33,38
2021-06-24,45,37
2021-06-25,33,34
2021-06-26,12,33
2021-06-27,17,33
2021-06-28,44,34
2021-06-29,28,30
2021-06-30,25,29
2021-07-01,29,27
2021-07-02,24,26
2021-07-03,17,26
2021-07-04,9,25
2021-07-05,36,24
2021-07-06,35,25
2021-07-07,28,25
2021-07-08,25,25
2021-07-09,18,24
2021-07-10,19,24
2021-07-11,4,24
2021-07-12,28,22
2021-07-13,22,21
2021-07-14,6,17
2021-07-15,16,16
2021-07-16,22,17
2021-07-17,16,16
2021-07-18,5,16
2021-07-19,20,15
2021-07-20,33,17
2021-07-21,22,19
2021-07-22,11,18
2021-07-23,26,19
2021-07-24,22,20
2021-07-25,6,20
2021-07-26,45,24
2021-07-27,28,23
2021-07-28,40,25
2021-07-29,29,28
2021-07-30,60,33
2021-07-31,43,36
2021-08-01,18,38
2021-08-02,51,38
2021-08-03,57,43
2021-08-04,53,44
2021-08-05,52,48
2021-08-06,60,48
2021-08-07,32,46
2021-08-08,30,48
2021-08-09,68,50
2021-08-10,68,52
2021-08-11,54,52
2021-08-12,77,56
2021-08-13,74,58
2021-08-14,51,60
2021-08-15,44,62
