date,incid_hosp,hospit_glissant
2020-01-23,NA,NA
2020-01-24,NA,NA
2020-01-25,NA,NA
2020-01-26,NA,NA
2020-01-27,NA,NA
2020-01-28,NA,NA
2020-01-29,NA,NA
2020-01-30,NA,NA
2020-01-31,NA,NA
2020-02-01,NA,NA
2020-02-02,NA,NA
2020-02-03,NA,NA
2020-02-04,NA,NA
2020-02-05,NA,NA
2020-02-06,NA,NA
2020-02-07,NA,NA
2020-02-08,NA,NA
2020-02-09,NA,NA
2020-02-10,NA,NA
2020-02-11,NA,NA
2020-02-12,NA,NA
2020-02-13,NA,NA
2020-02-14,NA,NA
2020-02-15,NA,NA
2020-02-16,NA,NA
2020-02-17,NA,NA
2020-02-18,NA,NA
2020-02-19,NA,NA
2020-02-20,NA,NA
2020-02-21,NA,NA
2020-02-22,NA,NA
2020-02-23,NA,NA
2020-02-24,NA,NA
2020-02-25,NA,NA
2020-02-26,NA,NA
2020-02-27,NA,NA
2020-02-28,NA,NA
2020-02-29,NA,NA
2020-03-01,NA,NA
2020-03-02,NA,NA
2020-03-03,NA,NA
2020-03-04,NA,NA
2020-03-05,NA,NA
2020-03-06,NA,NA
2020-03-07,NA,NA
2020-03-08,NA,NA
2020-03-09,NA,NA
2020-03-10,NA,NA
2020-03-11,NA,NA
2020-03-12,NA,NA
2020-03-13,NA,NA
2020-03-14,NA,NA
2020-03-15,NA,NA
2020-03-16,NA,NA
2020-03-17,NA,NA
2020-03-18,NA,NA
2020-03-19,2229,NA
2020-03-20,1256,NA
2020-03-21,1540,NA
2020-03-22,1534,NA
2020-03-23,2053,NA
2020-03-24,2618,NA
2020-03-25,3166,2057
2020-03-26,3097,2181
2020-03-27,3059,2438
2020-03-28,3353,2697
2020-03-29,2685,2862
2020-03-30,3108,3012
2020-03-31,4146,3231
2020-04-01,4281,3390
2020-04-02,3845,3497
2020-04-03,3627,3578
2020-04-04,2822,3502
2020-04-05,1931,3394
2020-04-06,2754,3344
2020-04-07,3277,3220
2020-04-08,3139,3056
2020-04-09,2990,2934
2020-04-10,3161,2868
2020-04-11,2044,2757
2020-04-12,1688,2722
2020-04-13,1257,2508
2020-04-14,1965,2321
2020-04-15,2415,2217
2020-04-16,2084,2088
2020-04-17,2166,1946
2020-04-18,1565,1877
2020-04-19,890,1763
2020-04-20,1464,1793
2020-04-21,1885,1781
2020-04-22,1619,1668
2020-04-23,1410,1571
2020-04-24,1346,1454
2020-04-25,999,1373
2020-04-26,481,1315
2020-04-27,964,1243
2020-04-28,1321,1163
2020-04-29,1070,1084
2020-04-30,1048,1033
2020-05-01,668,936
2020-05-02,453,858
2020-05-03,345,838
2020-05-04,689,799
2020-05-05,987,751
2020-05-06,833,718
2020-05-07,728,672
2020-05-08,510,649
2020-05-09,265,622
2020-05-10,253,609
2020-05-11,523,586
2020-05-12,670,540
2020-05-13,543,499
2020-05-14,542,472
2020-05-15,438,462
2020-05-16,350,474
2020-05-17,152,460
2020-05-18,375,439
2020-05-19,506,415
2020-05-20,432,399
2020-05-21,271,361
2020-05-22,263,336
2020-05-23,233,319
2020-05-24,121,314
2020-05-25,342,310
2020-05-26,318,283
2020-05-27,271,260
2020-05-28,253,257
2020-05-29,255,256
2020-05-30,227,255
2020-05-31,72,248
2020-06-01,89,212
2020-06-02,229,199
2020-06-03,250,196
2020-06-04,195,188
2020-06-05,213,182
2020-06-06,143,170
2020-06-07,37,165
2020-06-08,145,173
2020-06-09,169,165
2020-06-10,130,147
2020-06-11,143,140
2020-06-12,136,129
2020-06-13,68,118
2020-06-14,33,118
2020-06-15,114,113
2020-06-16,143,110
2020-06-17,116,108
2020-06-18,136,107
2020-06-19,116,104
2020-06-20,90,107
2020-06-21,48,109
2020-06-22,142,113
2020-06-23,117,109
2020-06-24,97,107
2020-06-25,124,105
2020-06-26,87,101
2020-06-27,55,96
2020-06-28,44,95
2020-06-29,102,89
2020-06-30,152,94
2020-07-01,106,96
2020-07-02,93,91
2020-07-03,125,97
2020-07-04,47,96
2020-07-05,21,92
2020-07-06,98,92
2020-07-07,127,88
2020-07-08,83,85
2020-07-09,79,83
2020-07-10,136,84
2020-07-11,57,86
2020-07-12,26,87
2020-07-13,68,82
2020-07-14,61,73
2020-07-15,133,80
2020-07-16,119,86
2020-07-17,119,83
2020-07-18,68,85
2020-07-19,36,86
2020-07-20,137,96
2020-07-21,109,103
2020-07-22,132,103
2020-07-23,123,103
2020-07-24,126,104
2020-07-25,86,107
2020-07-26,36,107
2020-07-27,118,104
2020-07-28,172,113
2020-07-29,118,111
2020-07-30,116,110
2020-07-31,152,114
2020-08-01,77,113
2020-08-02,25,111
2020-08-03,142,115
2020-08-04,139,110
2020-08-05,137,113
2020-08-06,141,116
2020-08-07,136,114
2020-08-08,73,113
2020-08-09,14,112
2020-08-10,180,117
2020-08-11,191,125
2020-08-12,143,125
2020-08-13,201,134
2020-08-14,173,139
2020-08-15,87,141
2020-08-16,33,144
2020-08-17,234,152
2020-08-18,185,151
2020-08-19,162,154
2020-08-20,149,146
2020-08-21,210,151
2020-08-22,114,155
2020-08-23,29,155
2020-08-24,233,155
2020-08-25,265,166
2020-08-26,215,174
2020-08-27,225,184
2020-08-28,241,189
2020-08-29,135,192
2020-08-30,23,191
2020-08-31,254,194
2020-09-01,300,199
2020-09-02,317,214
2020-09-03,307,225
2020-09-04,292,233
2020-09-05,168,237
2020-09-06,66,243
2020-09-07,448,271
2020-09-08,490,298
2020-09-09,386,308
2020-09-10,352,315
2020-09-11,447,337
2020-09-12,243,347
2020-09-13,98,352
2020-09-14,545,366
2020-09-15,642,388
2020-09-16,649,425
2020-09-17,599,460
2020-09-18,850,518
2020-09-19,470,550
2020-09-20,139,556
2020-09-21,754,586
2020-09-22,783,606
2020-09-23,649,606
2020-09-24,613,608
2020-09-25,661,581
2020-09-26,503,586
2020-09-27,241,601
2020-09-28,619,581
2020-09-29,698,569
2020-09-30,650,569
2020-10-01,626,571
2020-10-02,721,580
2020-10-03,532,584
2020-10-04,418,609
2020-10-05,710,622
2020-10-06,829,641
2020-10-07,789,661
2020-10-08,711,673
2020-10-09,848,691
2020-10-10,694,714
2020-10-11,503,726
2020-10-12,976,764
2020-10-13,1168,813
2020-10-14,1133,862
2020-10-15,1207,933
2020-10-16,1225,987
2020-10-17,986,1028
2020-10-18,835,1076
2020-10-19,1424,1140
2020-10-20,1943,1250
2020-10-21,1754,1339
2020-10-22,1998,1452
2020-10-23,2091,1576
2020-10-24,1667,1673
2020-10-25,1298,1739
2020-10-26,2314,1866
2020-10-27,2988,2016
2020-10-28,2821,2168
2020-10-29,2607,2255
2020-10-30,2563,2323
2020-10-31,2274,2409
2020-11-01,1883,2493
2020-11-02,2547,2526
2020-11-03,3311,2572
2020-11-04,3681,2695
2020-11-05,2989,2750
2020-11-06,3140,2832
2020-11-07,2458,2858
2020-11-08,1814,2849
2020-11-09,2670,2866
2020-11-10,3168,2846
2020-11-11,2588,2690
2020-11-12,2371,2601
2020-11-13,2841,2559
2020-11-14,2202,2522
2020-11-15,1574,2488
2020-11-16,2065,2401
2020-11-17,2513,2308
2020-11-18,2435,2286
2020-11-19,2221,2264
2020-11-20,1968,2140
2020-11-21,1515,2042
2020-11-22,906,1946
2020-11-23,1380,1848
2020-11-24,1786,1744
2020-11-25,1677,1636
2020-11-26,1460,1527
2020-11-27,1471,1456
2020-11-28,976,1379
2020-11-29,652,1343
2020-11-30,1257,1326
2020-12-01,1572,1295
2020-12-02,1253,1234
2020-12-03,1450,1233
2020-12-04,1400,1223
2020-12-05,1019,1229
2020-12-06,627,1225
2020-12-07,1206,1218
2020-12-08,1597,1222
2020-12-09,1380,1240
2020-12-10,1445,1239
2020-12-11,1340,1231
2020-12-12,1097,1242
2020-12-13,669,1248
2020-12-14,1324,1265
2020-12-15,1562,1260
2020-12-16,1664,1300
2020-12-17,1364,1289
2020-12-18,1285,1281
2020-12-19,1004,1267
2020-12-20,599,1257
2020-12-21,1284,1252
2020-12-22,1783,1283
2020-12-23,1426,1249
2020-12-24,1454,1262
2020-12-25,743,1185
2020-12-26,513,1115
2020-12-27,589,1113
2020-12-28,1217,1104
2020-12-29,1627,1081
2020-12-30,1404,1078
2020-12-31,1317,1059
2021-01-01,677,1049
2021-01-02,646,1068
2021-01-03,657,1078
2021-01-04,1262,1084
2021-01-05,1747,1101
2021-01-06,1438,1106
2021-01-07,1441,1124
2021-01-08,1445,1234
2021-01-09,944,1276
2021-01-10,729,1287
2021-01-11,1289,1290
2021-01-12,1660,1278
2021-01-13,1588,1299
2021-01-14,1691,1335
2021-01-15,1634,1362
2021-01-16,1199,1399
2021-01-17,698,1394
2021-01-18,1666,1448
2021-01-19,1995,1496
2021-01-20,1911,1542
2021-01-21,1759,1552
2021-01-22,1861,1584
2021-01-23,1174,1581
2021-01-24,918,1612
2021-01-25,1773,1627
2021-01-26,2006,1629
2021-01-27,1933,1632
2021-01-28,1726,1627
2021-01-29,1823,1622
2021-01-30,1176,1622
2021-01-31,816,1608
2021-02-01,1750,1604
2021-02-02,2189,1630
2021-02-03,1882,1623
2021-02-04,1752,1627
2021-02-05,1719,1612
2021-02-06,1126,1605
2021-02-07,790,1601
2021-02-08,1893,1622
2021-02-09,1931,1585
2021-02-10,1525,1534
2021-02-11,1618,1515
2021-02-12,1405,1470
2021-02-13,1085,1464
2021-02-14,651,1444
2021-02-15,1431,1378
2021-02-16,1857,1367
2021-02-17,1559,1372
2021-02-18,1490,1354
2021-02-19,1543,1374
2021-02-20,1029,1366
2021-02-21,593,1357
2021-02-22,1529,1371
2021-02-23,1780,1360
2021-02-24,1636,1371
2021-02-25,1454,1366
2021-02-26,1634,1379
2021-02-27,1007,1376
2021-02-28,728,1395
2021-03-01,1393,1376
2021-03-02,1705,1365
2021-03-03,1622,1363
2021-03-04,1538,1375
2021-03-05,1397,1341
2021-03-06,1097,1354
2021-03-07,720,1353
2021-03-08,1584,1380
2021-03-09,1810,1395
2021-03-10,1574,1389
2021-03-11,1609,1399
2021-03-12,1448,1406
2021-03-13,1087,1405
2021-03-14,821,1419
2021-03-15,1676,1432
2021-03-16,2005,1460
2021-03-17,1745,1484
2021-03-18,1661,1492
2021-03-19,1699,1528
2021-03-20,1348,1565
2021-03-21,926,1580
2021-03-22,1902,1612
2021-03-23,2286,1652
2021-03-24,2130,1707
2021-03-25,1860,1736
2021-03-26,2048,1786
2021-03-27,1567,1817
2021-03-28,1017,1830
2021-03-29,2099,1858
2021-03-30,2579,1900
2021-03-31,2209,1911
2021-04-01,2035,1936
2021-04-02,2092,1943
2021-04-03,1730,1966
2021-04-04,1224,1995
2021-04-05,1219,1870
2021-04-06,2459,1853
2021-04-07,3131,1984
2021-04-08,2156,2002
2021-04-09,2120,2006
2021-04-10,1649,1994
2021-04-11,1305,2006
2021-04-12,2172,2142
2021-04-13,2501,2148
2021-04-14,2072,1996
2021-04-15,2062,1983
2021-04-16,2044,1972
2021-04-17,1471,1947
2021-04-18,1111,1919
2021-04-19,2066,1904
2021-04-20,2404,1890
2021-04-21,2095,1893
2021-04-22,1878,1867
2021-04-23,1932,1851
2021-04-24,1368,1836
2021-04-25,881,1803
2021-04-26,1944,1786
2021-04-27,2109,1744
2021-04-28,1708,1689
2021-04-29,1711,1665
2021-04-30,1433,1593
2021-05-01,1246,1576
2021-05-02,798,1564
2021-05-03,1495,1500
2021-05-04,1591,1426
2021-05-05,1459,1390
2021-05-06,1151,1310
2021-05-07,1140,1269
2021-05-08,844,1211
2021-05-09,527,1172
2021-05-10,1125,1120
2021-05-11,1239,1069
2021-05-12,965,999
2021-05-13,618,923
2021-05-14,733,864
2021-05-15,580,827
2021-05-16,416,811
2021-05-17,871,775
2021-05-18,996,740
2021-05-19,712,704
2021-05-20,709,717
2021-05-21,625,701
2021-05-22,468,685
2021-05-23,324,672
2021-05-24,260,585
2021-05-25,796,556
2021-05-26,671,550
2021-05-27,499,520
2021-05-28,539,508
2021-05-29,334,489
2021-05-30,199,471
2021-05-31,529,510
2021-06-01,596,481
2021-06-02,491,455
2021-06-03,458,449
2021-06-04,408,431
2021-06-05,267,421
2021-06-06,154,415
2021-06-07,383,394
