dep,jour,taux_incid_glissant
01,2020-09-01,61.19140580405051
02,2020-09-01,23.38180781294554
03,2020-09-01,19.015136652430467
04,2020-09-01,47.821691677209635
05,2020-09-01,29.628375518496572
06,2020-09-01,126.64490140782438
07,2020-09-01,26.309751434034418
08,2020-09-01,15.064154467839915
09,2020-09-01,28.871769970734526
10,2020-09-01,26.136873320060538
11,2020-09-01,36.221676661166335
12,2020-09-01,33.76921971547636
13,2020-09-01,200.1996589773548
14,2020-09-01,25.164400183381954
15,2020-09-01,13.304297288024031
16,2020-09-01,18.95571256246769
17,2020-09-01,10.97236817704148
18,2020-09-01,14.169849259794065
19,2020-09-01,15.39511350775581
21,2020-09-01,68.30729274178718
22,2020-09-01,15.934624429288846
23,2020-09-01,9.460737937559129
24,2020-09-01,27.179701904782892
25,2020-09-01,35.59187244762712
26,2020-09-01,43.4147840786845
27,2020-09-01,37.45711160720975
28,2020-09-01,28.410083250858705
29,2020-09-01,17.759559827655053
2A,2020-09-01,94.81532560444771
2B,2020-09-01,59.80533090454191
30,2020-09-01,53.30889229733268
31,2020-09-01,69.16809131044623
32,2020-09-01,46.30604083350874
33,2020-09-01,152.3778038985209
34,2020-09-01,95.22635389344
35,2020-09-01,42.0489190655344
36,2020-09-01,25.329397298504645
37,2020-09-01,37.82748026033235
38,2020-09-01,48.775513269390245
39,2020-09-01,23.2694328851382
40,2020-09-01,27.428582524837434
41,2020-09-01,20.742141626122898
42,2020-09-01,46.15966011844595
43,2020-09-01,29.087575638714682
44,2020-09-01,37.018043512900995
45,2020-09-01,61.79618972308864
46,2020-09-01,6.92976681334673
47,2020-09-01,49.64642061416255
48,2020-09-01,22.28456073198228
49,2020-09-01,32.84792757767371
50,2020-09-01,13.043416233754321
51,2020-09-01,33.34379761024293
52,2020-09-01,17.725258493353028
01,2020-09-02,63.17023235990288
02,2020-09-02,21.67094382663245
03,2020-09-02,18.411481520607275
04,2020-09-02,44.18966446121903
05,2020-09-02,31.74468805553204
06,2020-09-02,131.83298807851799
07,2020-09-02,28.1453154875717
08,2020-09-02,17.3237776380159
09,2020-09-02,30.840299741466424
10,2020-09-02,25.491518423268914
11,2020-09-02,40.78292483331321
12,2020-09-02,34.12846673372611
13,2020-09-02,205.60647520311196
14,2020-09-02,25.164400183381954
15,2020-09-02,16.105201980239617
16,2020-09-02,22.40220575564363
17,2020-09-02,10.199666192742782
18,2020-09-02,10.796075626509763
19,2020-09-02,17.8916184009054
21,2020-09-02,68.87026493471399
22,2020-09-02,15.599158651830134
23,2020-09-02,5.160402511395889
24,2020-09-02,24.73108011155921
25,2020-09-02,35.96262111895657
26,2020-09-02,44.37528815122176
27,2020-09-02,37.45711160720975
28,2020-09-02,30.505909064446644
29,2020-09-02,19.303869377885928
2A,2020-09-02,97.89374526692977
2B,2020-09-02,67.4867495528317
30,2020-09-02,59.32117338349803
31,2020-09-02,73.66508795911302
32,2020-09-02,45.77983582403704
33,2020-09-02,167.6829268292683
34,2020-09-02,95.65147154475001
35,2020-09-02,45.560696921557046
36,2020-09-02,22.10565582414951
37,2020-09-02,40.30526281013578
38,2020-09-02,53.04435883915859
39,2020-09-02,23.2694328851382
40,2020-09-02,30.58408316928775
41,2020-09-02,21.657236109628318
42,2020-09-02,48.25188267338967
43,2020-09-02,28.646854795703852
44,2020-09-02,41.19301082638607
45,2020-09-02,71.0216872409905
46,2020-09-02,7.507247381125625
47,2020-09-02,52.976363460234424
48,2020-09-02,22.28456073198228
49,2020-09-02,38.731138487107806
50,2020-09-02,13.247219612406733
51,2020-09-02,36.8910101219709
52,2020-09-02,23.04283604135894
01,2020-09-03,65.14905891575526
02,2020-09-03,21.67094382663245
03,2020-09-03,22.938895009281197
04,2020-09-03,43.58432659188726
05,2020-09-03,29.628375518496572
06,2020-09-03,129.60952236250642
07,2020-09-03,32.122370936902485
08,2020-09-03,18.453589223103894
09,2020-09-03,38.05824223415006
10,2020-09-03,27.75026056203958
11,2020-09-03,42.392777129365044
12,2020-09-03,36.28394884322461
13,2020-09-03,212.93025354527398
14,2020-09-03,27.622991005896278
15,2020-09-03,17.50565432634741
16,2020-09-03,21.540582457349647
17,2020-09-03,11.590529764480435
18,2020-09-03,12.145585079823483
19,2020-09-03,20.804207442913256
21,2020-09-03,69.99620932056763
22,2020-09-03,17.779686205311766
23,2020-09-03,2.5802012556979443
24,2020-09-03,27.66942626342763
25,2020-09-03,34.47962643363877
26,2020-09-03,44.37528815122176
27,2020-09-03,36.79120740085935
28,2020-09-03,32.36886534319148
29,2020-09-03,19.303869377885928
2A,2020-09-03,107.12900425437597
2B,2020-09-03,67.4867495528317
30,2020-09-03,65.33345446966337
31,2020-09-03,89.2261239814838
32,2020-09-03,52.09429593769733
33,2020-09-03,168.54001371339015
34,2020-09-03,95.82151860527401
35,2020-09-03,55.63395445593782
36,2020-09-03,20.263517838803715
37,2020-09-03,42.783045359939216
38,2020-09-03,61.34489189148594
39,2020-09-03,21.71813735946232
40,2020-09-03,33.73958381373808
41,2020-09-03,21.657236109628318
42,2020-09-03,52.04403605422518
43,2020-09-03,34.376225754844626
44,2020-09-03,47.59462737372986
45,2020-09-03,67.80008493315175
46,2020-09-03,9.817169652241201
47,2020-09-03,56.306306306306304
48,2020-09-03,31.460556327504392
49,2020-09-03,44.736916290488445
50,2020-09-03,13.043416233754321
51,2020-09-03,39.72878013135328
52,2020-09-03,25.40620384047267
01,2020-09-04,67.73675518110069
02,2020-09-04,21.290751829673987
03,2020-09-04,22.938895009281197
04,2020-09-04,43.58432659188726
05,2020-09-04,27.5120629814611
06,2020-09-04,131.9256324833518
07,2020-09-04,30.592734225621413
08,2020-09-04,21.843023978367874
09,2020-09-04,36.74588905366212
10,2020-09-04,28.395615458831195
11,2020-09-04,46.68571658550328
12,2020-09-04,33.05072567897687
13,2020-09-04,220.7947135100117
14,2020-09-04,29.792335849291273
15,2020-09-04,25.20814222994027
16,2020-09-04,23.551036820035613
17,2020-09-04,11.899610558199914
18,2020-09-04,16.194113439764646
19,2020-09-04,24.54896478263764
21,2020-09-04,69.05792233235627
22,2020-09-04,16.773288872935627
23,2020-09-04,6.8805366818611855
24,2020-09-04,28.648874980717103
25,2020-09-04,38.55786181826271
26,2020-09-04,40.53327186107269
27,2020-09-04,40.453680535786525
28,2020-09-04,35.16329976130872
29,2020-09-04,21.730641528248732
2A,2020-09-04,105.89763638938314
2B,2020-09-04,78.46020476467426
30,2020-09-04,68.40639813592566
31,2020-09-04,96.29283300081731
32,2020-09-04,40.517785729320146
33,2020-09-04,175.27426780291898
34,2020-09-04,95.48142448422601
35,2020-09-04,60.347129999547164
36,2020-09-04,17.960845357121475
37,2020-09-04,46.912682942944926
38,2020-09-04,70.04068842249555
39,2020-09-04,23.657256766557172
40,2020-09-04,38.35146937101163
41,2020-09-04,24.09748806564278
42,2020-09-04,52.959383422013055
43,2020-09-04,38.78343418495291
44,2020-09-04,52.465422572795774
45,2020-09-04,72.33961545783362
46,2020-09-04,12.12709192335678
47,2020-09-04,64.17708030611257
48,2020-09-04,39.325695409380494
49,2020-09-04,50.98782788176217
50,2020-09-04,12.83961285510191
51,2020-09-04,41.147665136044466
52,2020-09-04,27.178729689807973
01,2020-09-05,70.17223401907285
02,2020-09-05,21.67094382663245
03,2020-09-05,22.637067443369602
04,2020-09-05,42.37365085322373
05,2020-09-05,28.922938006151416
06,2020-09-05,135.26083105736913
07,2020-09-05,29.980879541108983
08,2020-09-05,25.23245873363185
09,2020-09-05,40.68294859512592
10,2020-09-05,24.846163526477298
11,2020-09-05,49.36880374558967
12,2020-09-05,49.57608851846529
13,2020-09-05,217.1082479015409
14,2020-09-05,28.201482964134946
15,2020-09-05,24.507916056886376
16,2020-09-05,22.689413521741628
17,2020-09-05,12.826852939358348
18,2020-09-05,18.218377619735225
19,2020-09-05,23.300712336062848
21,2020-09-05,69.62089452528308
22,2020-09-05,17.94741909404112
23,2020-09-05,7.740603767093833
24,2020-09-05,29.138599339361843
25,2020-09-05,40.96772818190413
26,2020-09-05,38.420162901490706
27,2020-09-05,40.287204484198924
28,2020-09-05,37.259125574896665
29,2020-09-05,23.274951078479607
2A,2020-09-05,107.12900425437597
2B,2020-09-05,81.20356856763489
30,2020-09-05,70.27688558495487
31,2020-09-05,95.793166706521
32,2020-09-05,39.99158071984845
33,2020-09-05,173.6213145263983
34,2020-09-05,94.20607153029601
35,2020-09-05,63.5816622353575
36,2020-09-05,16.57924186811213
37,2020-09-05,46.912682942944926
38,2020-09-05,72.72848007753488
39,2020-09-05,23.2694328851382
40,2020-09-05,39.322392646227115
41,2020-09-05,24.09748806564278
42,2020-09-05,54.39778642853687
43,2020-09-05,38.78343418495291
44,2020-09-05,55.457482480793416
45,2020-09-05,73.80398014321486
46,2020-09-05,12.12709192335678
47,2020-09-05,65.6906906906907
48,2020-09-05,40.63655192302651
49,2020-09-05,54.419700912265384
50,2020-09-05,12.228202719144678
51,2020-09-05,41.147665136044466
52,2020-09-05,28.360413589364846
01,2020-09-06,70.3244514464461
02,2020-09-06,22.241231822070144
03,2020-09-06,22.637067443369602
04,2020-09-06,42.37365085322373
05,2020-09-06,29.628375518496572
06,2020-09-06,137.20636355887922
07,2020-09-06,30.286806883365202
08,2020-09-06,25.98566645702385
09,2020-09-06,40.68294859512592
10,2020-09-06,24.20080862968568
11,2020-09-06,49.36880374558967
12,2020-09-06,49.57608851846529
13,2020-09-06,217.9929996475739
14,2020-09-06,32.2509266718056
15,2020-09-06,24.507916056886376
16,2020-09-06,22.976621287839624
17,2020-09-06,13.599554923657045
18,2020-09-06,20.580019163034237
19,2020-09-06,23.300712336062848
21,2020-09-06,71.12215370642126
22,2020-09-06,18.115151982770477
23,2020-09-06,8.600670852326482
24,2020-09-06,28.893737160039475
25,2020-09-06,40.596979510574684
26,2020-09-06,39.57276778853542
27,2020-09-06,41.286060793724516
28,2020-09-06,37.49199510973977
29,2020-09-06,23.93679802857855
2A,2020-09-06,106.51332032187955
2B,2020-09-06,81.20356856763489
30,2020-09-06,71.61294804854717
31,2020-09-06,96.15007120244694
32,2020-09-06,40.517785729320146
33,2020-09-06,173.92741698501322
34,2020-09-06,93.95100093951001
35,2020-09-06,64.32098388925701
36,2020-09-06,16.57924186811213
37,2020-09-06,47.07786844626516
38,2020-09-06,73.3609016434265
39,2020-09-06,24.045080647976143
40,2020-09-06,40.05058510263873
41,2020-09-06,24.09748806564278
42,2020-09-06,55.7054255253767
43,2020-09-06,39.22415502796374
44,2020-09-06,55.80539642358383
45,2020-09-06,72.92536133198611
46,2020-09-06,13.282053058914567
47,2020-09-06,64.17708030611257
48,2020-09-06,40.63655192302651
49,2020-09-06,54.29713401831885
50,2020-09-06,12.024399340492266
51,2020-09-06,41.32502576163086
52,2020-09-06,28.95125553914328
01,2020-09-07,68.95449460008676
02,2020-09-07,23.191711814466306
03,2020-09-07,25.957170668397143
04,2020-09-07,47.216353807877866
05,2020-09-07,38.79906317898361
