dep,jour,taux_incid_glissant
Rhône,2020-09-01,114.49582127564763
Rhône,2020-09-02,120.25259441241204
Rhône,2020-09-03,129.84721630701938
Rhône,2020-09-04,138.05594837240565
Rhône,2020-09-05,140.08147966126722
Rhône,2020-09-06,139.33523129168663
Rhône,2020-09-07,147.650570267013
Rhône,2020-09-08,160.49670291479282
Rhône,2020-09-09,173.07631828772247
Rhône,2020-09-10,178.40666378472653
Rhône,2020-09-11,182.35111945250955
Rhône,2020-09-12,185.33611293083183
Rhône,2020-09-13,186.02905784544237
Rhône,2020-09-14,191.89243789214686
Rhône,2020-09-15,192.69198971669746
Rhône,2020-09-16,198.02233521370155
Rhône,2020-09-17,205.43151545453722
Rhône,2020-09-18,210.12221949190084
Rhône,2020-09-19,209.96230912699068
Rhône,2020-09-20,210.17552294687087
Rhône,2020-09-21,218.65077228710732
Rhône,2020-09-22,225.36700761333248
Rhône,2020-09-23,221.6357657654296
Rhône,2020-09-24,221.3692484905794
Rhône,2020-09-25,223.87451087417134
Rhône,2020-09-26,221.52915885548953
Rhône,2020-09-27,220.46308975608872
Rhône,2020-09-28,211.45480586615184
Rhône,2020-09-29,202.23330815633474
Rhône,2020-09-30,204.31214290016638
Rhône,2020-10-01,202.49982543118497
Rhône,2020-10-02,209.10945384747
Rhône,2020-10-03,210.33543331178097
Rhône,2020-10-04,211.24159204627168
Rhône,2020-10-05,234.26868459332925
Rhône,2020-10-06,258.681666969608
Rhône,2020-10-07,279.5233178628939
Rhône,2020-10-08,310.972356295218
Rhône,2020-10-09,342.95442927724247
Rhône,2020-10-10,352.6023546268198
Rhône,2020-10-11,354.84109973556156
Rhône,2020-10-12,395.61824278764277
Rhône,2020-10-13,432.98396472164137
Rhône,2020-10-14,470.3496866556399
Rhône,2020-10-15,511.8197746223317
Rhône,2020-10-16,555.1021800580048
Rhône,2020-10-17,568.321436890575
Rhône,2020-10-18,570.2936647244665
Rhône,2020-10-19,619.0663260220538
Rhône,2020-10-20,660.5897174437155
Rhône,2020-10-21,709.468985651243
Rhône,2020-10-22,754.4571016459574
Rhône,2020-10-23,794.6479066933682
Rhône,2020-10-24,831.6938078975464
Rhône,2020-10-25,835.1585324705991
Rhône,2020-10-26,876.1488893425606
Rhône,2020-10-27,906.691769040394
Rhône,2020-10-28,910.689528163147
Rhône,2020-10-29,902.8006168275809
Rhône,2020-10-30,906.6384655854239
Rhône,2020-10-31,909.4102452438659
Rhône,2020-11-01,909.7300659736861
Rhône,2020-11-02,922.416288256556
Rhône,2020-11-03,931.637785966373
Rhône,2020-11-04,936.5417038236167
Rhône,2020-11-05,922.2563778916459
Rhône,2020-11-06,897.6834851504569
Rhône,2020-11-07,873.4837165940585
Rhône,2020-11-08,870.9784542104665
Rhône,2020-11-09,801.9504800242638
Rhône,2020-11-10,702.0065019554372
Rhône,2020-11-11,557.4475320766866
Rhône,2020-11-12,497.0547175956304
Rhône,2020-11-13,428.0267434094276
Rhône,2020-11-14,404.3067059477594
Rhône,2020-11-15,401.108498649557
Rhône,2020-11-16,336.02498013113717
Rhône,2020-11-17,302.17728622516125
Rhône,2020-11-18,329.09553098503187
Rhône,2020-11-19,287.1990153785798
Rhône,2020-11-20,248.44740361536014
Rhône,2020-11-21,236.66734006698113
Rhône,2020-11-22,234.16207768338919
Rhône,2020-11-23,197.75581793885135
Rhône,2020-11-24,177.23398777538563
Rhône,2020-11-25,167.47945551586818
Rhône,2020-11-26,160.9764340095232
Rhône,2020-11-27,159.5372407253321
Rhône,2020-11-28,159.96366836509242
Rhône,2020-11-29,160.3367925498827
Rhône,2020-11-30,159.1641165405418
Rhône,2020-12-01,161.0830409194633
Rhône,2020-12-02,160.709916734673
Rhône,2020-12-03,161.2429512843734
Rhône,2020-12-04,162.20241347383413
Rhône,2020-12-05,163.0552687533548
Rhône,2020-12-06,163.90812403287543
Rhône,2020-12-07,167.05302787610785
Rhône,2020-12-08,169.02525570999936
Rhône,2020-12-09,170.0913248094002
Rhône,2020-12-10,171.37060772868114
Rhône,2020-12-11,172.01024918832164
Rhône,2020-12-12,174.62211848185365
Rhône,2020-12-13,173.2895321076026
Rhône,2020-12-14,179.36612597418727
Rhône,2020-12-15,184.7497749261614
Rhône,2020-12-16,188.64092713897438
Rhône,2020-12-17,197.70251448388132
Rhône,2020-12-18,213.74685442986356
Rhône,2020-12-19,225.47361452327254
Rhône,2020-12-20,239.6523335453034
Rhône,2020-12-21,238.90608517572284
Rhône,2020-12-22,236.18760897225073
Rhône,2020-12-23,238.1065333511722
Rhône,2020-12-24,224.40754542387174
Rhône,2020-12-25,179.4194294291573
Rhône,2020-12-26,167.10633133107788
Rhône,2020-12-27,154.0469848634179
Rhône,2020-12-28,151.3285086599458
Rhône,2020-12-29,158.41786817096124
Rhône,2020-12-30,155.64608851251913
Rhône,2020-12-31,160.49670291479282
Rhône,2021-01-01,160.28348909491265
Rhône,2021-01-02,161.45616510425356
Rhône,2021-01-03,161.18964782940336
Rhône,2021-01-04,178.67318105957673
Rhône,2021-01-05,179.84585706891764
Rhône,2021-01-06,182.56433327238972
Rhône,2021-01-07,188.80083750388448
Rhône,2021-01-08,220.51639321105876
Rhône,2021-01-09,219.77014484147816
Rhône,2021-01-10,219.77014484147816
Rhône,2021-01-11,206.65749491884816
Rhône,2021-01-12,201.4870597867542
Rhône,2021-01-13,200.8474183271137
Rhône,2021-01-14,199.6214388628028
Rhône,2021-01-15,202.6597357960951
Rhône,2021-01-16,204.68526708495665
