vaccin,jour,n_dose1,n_dose2,n_dose3,n_dose4,n_rappel,n_cum_dose1,n_cum_dose2,n_cum_dose3,n_cum_dose4,n_cum_rappel,nom_vaccin,dose1_glissant,dose2_glissant,doses_1_2_glissant,doses_1_2
1,2020-12-27,560,0,0,0,0,560,0,0,0,0,Pfizer/BioNTech,NA,NA,NA,560
2,2020-12-27,0,0,0,0,0,0,0,0,0,0,Moderna,NA,NA,NA,0
3,2020-12-27,0,0,0,0,0,0,0,0,0,0,AstraZeneca,NA,NA,NA,0
4,2020-12-27,0,0,0,0,0,0,0,0,0,0,Janssen,NA,NA,NA,0
0,2020-12-27,560,0,0,0,0,560,0,0,0,0,Tous vaccins,NA,NA,NA,560
1,2020-12-28,612,0,0,0,0,1172,0,0,0,0,Pfizer/BioNTech,NA,NA,NA,612
2,2020-12-28,0,0,0,0,0,0,0,0,0,0,Moderna,NA,NA,NA,0
3,2020-12-28,0,0,0,0,0,0,0,0,0,0,AstraZeneca,NA,NA,NA,0
4,2020-12-28,0,0,0,0,0,0,0,0,0,0,Janssen,NA,NA,NA,0
0,2020-12-28,612,0,0,0,0,1172,0,0,0,0,Tous vaccins,NA,NA,NA,612
1,2020-12-29,355,0,0,0,0,1527,0,0,0,0,Pfizer/BioNTech,NA,NA,NA,355
2,2020-12-29,0,0,0,0,0,0,0,0,0,0,Moderna,NA,NA,NA,0
3,2020-12-29,0,0,0,0,0,0,0,0,0,0,AstraZeneca,NA,NA,NA,0
4,2020-12-29,0,0,0,0,0,0,0,0,0,0,Janssen,NA,NA,NA,0
0,2020-12-29,355,0,0,0,0,1527,0,0,0,0,Tous vaccins,NA,NA,NA,355
1,2020-12-30,413,0,0,0,0,1940,0,0,0,0,Pfizer/BioNTech,NA,NA,NA,413
2,2020-12-30,0,0,0,0,0,0,0,0,0,0,Moderna,NA,NA,NA,0
3,2020-12-30,0,0,0,0,0,0,0,0,0,0,AstraZeneca,NA,NA,NA,0
4,2020-12-30,0,0,0,0,0,0,0,0,0,0,Janssen,NA,NA,NA,0
0,2020-12-30,413,0,0,0,0,1940,0,0,0,0,Tous vaccins,NA,NA,NA,413
1,2020-12-31,334,0,0,0,0,2274,0,0,0,0,Pfizer/BioNTech,NA,NA,NA,334
2,2020-12-31,0,0,0,0,0,0,0,0,0,0,Moderna,NA,NA,NA,0
3,2020-12-31,0,0,0,0,0,0,0,0,0,0,AstraZeneca,NA,NA,NA,0
4,2020-12-31,0,0,0,0,0,0,0,0,0,0,Janssen,NA,NA,NA,0
0,2020-12-31,334,0,0,0,0,2274,0,0,0,0,Tous vaccins,NA,NA,NA,334
1,2021-01-01,1048,0,0,0,0,3322,0,0,0,0,Pfizer/BioNTech,NA,NA,NA,1048
2,2021-01-01,0,0,0,0,0,0,0,0,0,0,Moderna,NA,NA,NA,0
3,2021-01-01,0,0,0,0,0,0,0,0,0,0,AstraZeneca,NA,NA,NA,0
4,2021-01-01,0,0,0,0,0,0,0,0,0,0,Janssen,NA,NA,NA,0
0,2021-01-01,1048,0,0,0,0,3322,0,0,0,0,Tous vaccins,NA,NA,NA,1048
1,2021-01-02,378,0,0,0,0,3700,0,0,0,0,Pfizer/BioNTech,529,0,529,378
2,2021-01-02,0,0,0,0,0,0,0,0,0,0,Moderna,0,0,0,0
3,2021-01-02,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-02,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-02,378,0,0,0,0,3700,0,0,0,0,Tous vaccins,529,0,529,378
1,2021-01-03,479,0,0,0,0,4179,0,0,0,0,Pfizer/BioNTech,517,0,517,479
2,2021-01-03,0,0,0,0,0,0,0,0,0,0,Moderna,0,0,0,0
3,2021-01-03,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-03,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-03,479,0,0,0,0,4179,0,0,0,0,Tous vaccins,517,0,517,479
1,2021-01-04,2111,0,0,0,0,6290,0,0,0,0,Pfizer/BioNTech,731,0,731,2111
2,2021-01-04,0,0,0,0,0,0,0,0,0,0,Moderna,0,0,0,0
3,2021-01-04,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-04,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-04,2111,0,0,0,0,6290,0,0,0,0,Tous vaccins,731,0,731,2111
1,2021-01-05,6172,0,0,0,0,12462,0,0,0,0,Pfizer/BioNTech,1562,0,1562,6172
2,2021-01-05,0,0,0,0,0,0,0,0,0,0,Moderna,0,0,0,0
3,2021-01-05,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-05,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-05,6172,0,0,0,0,12462,0,0,0,0,Tous vaccins,1562,0,1562,6172
1,2021-01-06,11978,0,0,0,0,24440,0,0,0,0,Pfizer/BioNTech,3214,0,3214,11978
2,2021-01-06,0,0,0,0,0,0,0,0,0,0,Moderna,0,0,0,0
3,2021-01-06,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-06,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-06,11978,0,0,0,0,24440,0,0,0,0,Tous vaccins,3214,0,3214,11978
1,2021-01-07,29378,0,0,0,0,53818,0,0,0,0,Pfizer/BioNTech,7363,0,7363,29378
2,2021-01-07,0,0,0,0,0,0,0,0,0,0,Moderna,0,0,0,0
3,2021-01-07,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-07,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-07,29378,0,0,0,0,53818,0,0,0,0,Tous vaccins,7363,0,7363,29378
1,2021-01-08,37123,0,0,0,0,90941,0,0,0,0,Pfizer/BioNTech,12517,0,12517,37123
2,2021-01-08,0,0,0,0,0,0,0,0,0,0,Moderna,0,0,0,0
3,2021-01-08,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-08,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-08,37123,0,0,0,0,90941,0,0,0,0,Tous vaccins,12517,0,12517,37123
1,2021-01-09,11205,0,0,0,0,102146,0,0,0,0,Pfizer/BioNTech,14064,0,14064,11205
2,2021-01-09,0,0,0,0,0,0,0,0,0,0,Moderna,0,0,0,0
3,2021-01-09,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-09,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-09,11205,0,0,0,0,102146,0,0,0,0,Tous vaccins,14064,0,14064,11205
1,2021-01-10,6004,0,0,0,0,108150,0,0,0,0,Pfizer/BioNTech,14853,0,14853,6004
2,2021-01-10,0,0,0,0,0,0,0,0,0,0,Moderna,0,0,0,0
3,2021-01-10,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-10,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-10,6004,0,0,0,0,108150,0,0,0,0,Tous vaccins,14853,0,14853,6004
1,2021-01-11,39899,0,0,0,0,148049,0,0,0,0,Pfizer/BioNTech,20251,0,20251,39899
2,2021-01-11,0,0,0,0,0,0,0,0,0,0,Moderna,0,0,0,0
3,2021-01-11,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-11,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-11,39899,0,0,0,0,148049,0,0,0,0,Tous vaccins,20251,0,20251,39899
1,2021-01-12,62058,1,0,0,0,210107,1,0,0,0,Pfizer/BioNTech,28235,0,28235,62059
2,2021-01-12,0,0,0,0,0,0,0,0,0,0,Moderna,0,0,0,0
3,2021-01-12,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-12,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-12,62058,1,0,0,0,210107,1,0,0,0,Tous vaccins,28235,0,28235,62059
1,2021-01-13,65019,0,0,0,0,275126,1,0,0,0,Pfizer/BioNTech,35812,0,35812,65019
2,2021-01-13,0,0,0,0,0,0,0,0,0,0,Moderna,0,0,0,0
3,2021-01-13,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-13,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-13,65019,0,0,0,0,275126,1,0,0,0,Tous vaccins,35812,0,35812,65019
1,2021-01-14,81350,7,0,0,0,356476,8,0,0,0,Pfizer/BioNTech,43237,1,43238,81357
2,2021-01-14,1726,0,0,0,0,1726,0,0,0,0,Moderna,247,0,247,1726
3,2021-01-14,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-14,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-14,83076,7,0,0,0,358202,8,0,0,0,Tous vaccins,43483,1,43484,83083
1,2021-01-15,68559,1,0,0,0,425035,9,0,0,0,Pfizer/BioNTech,47728,1,47729,68560
2,2021-01-15,381,0,0,0,0,2107,0,0,0,0,Moderna,301,0,301,381
3,2021-01-15,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-15,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-15,68940,1,0,0,0,427142,9,0,0,0,Tous vaccins,48029,1,48030,68941
1,2021-01-16,19885,74,0,0,0,444920,83,0,0,0,Pfizer/BioNTech,48968,12,48980,19959
2,2021-01-16,303,0,0,0,0,2410,0,0,0,0,Moderna,344,0,344,303
3,2021-01-16,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-16,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-16,20188,74,0,0,0,447330,83,0,0,0,Tous vaccins,49312,12,49324,20262
1,2021-01-17,10917,41,0,0,0,455837,124,0,0,0,Pfizer/BioNTech,49670,18,49688,10958
2,2021-01-17,75,0,0,0,0,2485,0,0,0,0,Moderna,355,0,355,75
3,2021-01-17,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-17,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-17,10992,41,0,0,0,458322,124,0,0,0,Tous vaccins,50025,18,50043,11033
1,2021-01-18,82716,158,0,0,0,538553,282,0,0,0,Pfizer/BioNTech,55786,40,55826,82874
2,2021-01-18,3065,0,0,0,0,5550,0,0,0,0,Moderna,793,0,793,3065
3,2021-01-18,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-18,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-18,85781,158,0,0,0,544103,282,0,0,0,Tous vaccins,56579,40,56619,85939
1,2021-01-19,125880,123,0,0,0,664433,405,0,0,0,Pfizer/BioNTech,64904,58,64962,126003
2,2021-01-19,4666,0,0,0,0,10216,0,0,0,0,Moderna,1459,0,1459,4666
3,2021-01-19,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-19,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-19,130546,123,0,0,0,674649,405,0,0,0,Tous vaccins,66363,58,66421,130669
1,2021-01-20,132380,154,0,0,0,796813,559,0,0,0,Pfizer/BioNTech,74527,80,74607,132534
2,2021-01-20,5128,0,0,0,0,15344,0,0,0,0,Moderna,2192,0,2192,5128
3,2021-01-20,0,0,0,0,0,0,0,0,0,0,AstraZeneca,0,0,0,0
4,2021-01-20,0,0,0,0,0,0,0,0,0,0,Janssen,0,0,0,0
0,2021-01-20,137508,154,0,0,0,812157,559,0,0,0,Tous vaccins,76719,80,76799,137662
